AlertDescription,Message,LastTriggeredDateTime,TriggeredCount,EventTypeWord,Frequency,ObjectType,Caption,IP_Address,Location,Tower,Vendor,MachineType,Environment,DC,CustomerName,TimeStamp,Alert Category
TCS_Mgmt_Ashburn_9K : Sev3 : Interface Output Errors (1001-3000)(Mail_Only),US Cloud : Sev3 : Network : TCS_Mgmt_ASH_9K : DC : Ashburn Device : ASHNWLEA07 Interface : Ethernet1/44 Output Errors : 2138 errors This Hour,4/10/2019 4:33 AM,34,Triggered,30.00 m,Interface,ASHNWLEA07.us.tcscloud.com,172.26.1.29,Ashburn,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_ASH_9K,3/27/2019 1:48 PM,
TCS_Management Sev2 : Serious : VM CPU Utilization is above 95%,US Cloud : VMware : Sev2 : CPU Utilization of Guest VM ccttecchi013 is above 95%,4/9/2019 5:35 PM,390,Triggered,10.00 m,Virtual Machine,CCTTECCHI013,10.13.115.23,Franklin Park,Linux,net-snmp,net-snmp - Linux,Production,US,eMEDS,3/27/2019 1:18 PM,
TCS_Management Sev2 : Serious : VM CPU Utilization is above 95%,US Cloud : VMware : Sev2 : CPU Utilization of Guest VM ccttecchi013 is above 95%,4/9/2019 5:35 PM,390,Triggered,10.00 m,Virtual Machine,CCTTECCHI013,10.13.115.23,Franklin Park,Linux,net-snmp,net-snmp - Linux,Production,US,eMEDS,3/27/2019 12:18 PM,
TCS_Management Sev2 : Serious : VM CPU Utilization is above 95%,US Cloud : VMware : Sev2 : CPU Utilization of Guest VM FPKCCTESRMWVM1 is above 95%,3/27/2019 11:59 PM,38,Triggered,10.00 m,Virtual Machine,FPKCCTESRMWVM1,10.205.6.23,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,eMEDS,3/27/2019 12:08 PM,
Sev1 : Critical : File System Utilization above 90%,US Cloud : Sev1 : Linux : Sensata : Ashburn : AMER : stia-ebsplc3.corp.sensata.com : File System /var is above 92 %,3/27/2019 11:43 AM,1,Triggered,5.00 m,Volume,stia-ebsplc3.corp.sensata.com,10.100.10.13,Ashburn,Linux,net-snmp,net-snmp - Linux,Production,US,Sensata,3/27/2019 11:43 AM,Sensata_Alert
TCS_Management Sev2 : Serious : VM CPU Utilization is above 95%,US Cloud : VMware : Sev2 : CPU Utilization of Guest VM ccttecchi013 is above 95%,4/9/2019 5:35 PM,390,Triggered,10.00 m,Virtual Machine,CCTTECCHI013,10.13.115.23,Franklin Park,Linux,net-snmp,net-snmp - Linux,Production,US,eMEDS,3/27/2019 11:38 AM,
TCS_Mgmt_Ashburn_9K : Sev1 : Interface Output Errors above 5000,US Cloud : Sev1 : Network : TCS_Mgmt_ASH_9K :DC : Ashburn Device : ASHNWSTK01.us.tcscloud.com Interface : GigabitEthernet1/0/40 Output Errors : 765932 errors This Hour,4/10/2019 7:03 AM,214,Triggered,30.00 m,Interface,ASHNWSTK01.us.tcscloud.com,172.26.1.1,Ashburn,Network,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,Production,US,TCS_Mgmt_ASH_9K,3/27/2019 10:48 AM,
Sensata_Sev2 : Linux Service Monitoring,US Cloud : Sev2 : Linux : Sensata : Franklin Park : stic-obidld1.corp.sensata.com : java is Down,4/4/2019 12:45 AM,14,Triggered,6.00 m,APM: Component,stic-obidld1.corp.sensata.com,10.100.84.30,Franklin Park,Linux,net-snmp,net-snmp - Linux,Development,US,Sensata,3/27/2019 10:17 AM,Sensata_Alert
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Ashburn : NOAADC-HUB414 is Down.,3/27/2019 10:10 AM,54,Triggered,0.25 m,Node,NOAADC-HUB414,10.11.10.59,Ashburn,Windows,Unknown,Unknown,Production,US,ALCOA,3/27/2019 10:10 AM,Alcoa_Alert_Console
TCS_Mgmt_Ashburn_9K : Sev2 : Memory Utilization Above 90%,US Cloud : Sev2 : Network : TCS_Mgmt_ASH_9K : DC : Ashburn Device : QCTA81E8496308A Device Memory Utilization is 92 %,3/30/2019 12:49 PM,23,Triggered,30.00 m,Node,QCTA81E8496308A,172.26.6.15,Ashburn,Network,net-snmp,net-snmp - Linux,Production,US,TCS_Mgmt_ASH_9K,3/27/2019 10:10 AM,
TCS_Mgmt_FPK_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_FPK_9K : Node : FPKNWLEA05 Interface : port-channel1  is Down,4/7/2019 6:46 AM,6,Triggered,1.00 m,Interface,FPKNWLEA05.us.tcscloud.com,172.26.0.27,Franklin Park,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_FPK_9K,3/27/2019 10:01 AM,
TCS_Mgmt_FPK_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_FPK_9K : Node : FPKNWLEA05 Interface : Ethernet1/37  is Down,4/7/2019 6:46 AM,17,Triggered,1.00 m,Interface,FPKNWLEA05.us.tcscloud.com,172.26.0.27,Franklin Park,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_FPK_9K,3/27/2019 10:01 AM,
TCS_Mgmt_FPK_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_FPK_9K : Node : FPKNWLEA05 Interface : Ethernet1/38  is Down,4/7/2019 6:46 AM,16,Triggered,1.00 m,Interface,FPKNWLEA05.us.tcscloud.com,172.26.0.27,Franklin Park,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_FPK_9K,3/27/2019 10:01 AM,
TCS_Mgmt_FPK_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_FPK_9K : Node : FPKNWLEA06 Interface : port-channel19  is Down,4/7/2019 6:46 AM,15,Triggered,1.00 m,Interface,FPKNWLEA06.us.tcscloud.com,172.26.0.28,Franklin Park,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_FPK_9K,3/27/2019 10:01 AM,
TCS_Mgmt_FPK_9K : Sev2 : Interface is down,US Cloud : Sev2 : Network : TCS_Mgmt_FPK_9K : Node : FPKNWLEA06 Interface : Ethernet1/38  is Down,4/7/2019 6:46 AM,18,Triggered,1.00 m,Interface,FPKNWLEA06.us.tcscloud.com,172.26.0.28,Franklin Park,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_FPK_9K,3/27/2019 10:01 AM,
TCS_Management Sev2 : Serious : VM CPU Utilization is above 95%,US Cloud : VMware : Sev2 : CPU Utilization of Guest VM FPKCCTESRMWVM1 is above 95%,3/27/2019 11:59 PM,38,Triggered,10.00 m,Virtual Machine,FPKCCTESRMWVM1,10.205.6.23,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,eMEDS,3/27/2019 9:56 AM,
MSSP_Sev3 : Memory Utilization above 95%,US Cloud - MSSP : Sev3 : Windows : Production : MSSADFRA01 : Memory Used is 97 %,3/27/2019 9:25 AM,98,Triggered,10.00 m,Node,MSSADFRA01,10.12.20.23,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,MSSP,3/27/2019 9:25 AM,MSSP_Windows
TCS_Mgmt : Sev1 : Backup Server Availability,US Cloud - TCS_Mgmt_ASH_9K : Sev1 : Windows : Production : USASHWPCMA002.US.TCSCLOUD.COM is Down.,3/27/2019 8:43 AM,2,Triggered,1.00 m,Node,USASHWPCMA002.US.TCSCLOUD.COM,172.26.17.28,Ashburn,Windows,Windows,Windows 2012 R2 Server,Production,US,TCS_Mgmt_ASH_9K,3/27/2019 8:43 AM,
Sensata_Sev2 : Linux Service Monitoring,US Cloud : Sev2 : Linux : Sensata : Franklin Park : stic-obidld1.corp.sensata.com : java is Down,4/4/2019 12:45 AM,14,Triggered,6.00 m,APM: Component,stic-obidld1.corp.sensata.com,10.100.84.30,Franklin Park,Linux,net-snmp,net-snmp - Linux,Development,US,Sensata,3/27/2019 8:42 AM,Sensata_Alert
Sensata_Sev2 : Linux Service Monitoring,US Cloud : Sev2 : Linux : Sensata : Franklin Park : stic-obidld1.corp.sensata.com : java is Down,4/4/2019 12:45 AM,14,Triggered,6.00 m,APM: Component,stic-obidld1.corp.sensata.com,10.100.84.30,Franklin Park,Linux,net-snmp,net-snmp - Linux,Development,US,Sensata,3/27/2019 8:06 AM,Sensata_Alert
Sensata_Sev3 : CPU Utilization above 90%,US Cloud : Sev3 : Linux : Sensata : Franklin Park : AMER : stic-obitld1.corp.sensata.com : CPU Load is 93 %,4/4/2019 7:03 AM,60,Triggered,3.00 m,Node,stic-obitld1.corp.sensata.com,10.100.84.29,Franklin Park,Linux,net-snmp,net-snmp - Linux,Test/Pre-Prod,US,Sensata,3/27/2019 7:24 AM,Sensata_Alert
Sensata_Sev3 : CPU Utilization Virtual Servers above 90%,US Cloud : Sev3 : Windows : Sensata : Franklin Park : Virtual : stic-quspwf1 : CPU Load is 100 %,4/10/2019 7:11 AM,221,Triggered,6.00 m,Node,stic-quspwf1,10.100.65.19,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,Sensata,3/27/2019 7:17 AM,Sensata_Alert
Arconic_9K : Sev3 : File System Utilization above 85%,US Cloud : Sev3 : Linux : Arconic : Franklin Park : anpld110n.adr.valueaddco.com : File System /var/log is 85 %,4/5/2019 2:13 AM,13,Triggered,10.00 m,Volume,anpld110n.adr.valueaddco.com,10.14.196.22,Franklin Park,Linux,Linux,OracleServer,Development,US,Arconic,3/27/2019 7:15 AM,Arconic_Alert_Console
MSSP_Sev3 : Memory Utilization above 95%,US Cloud - MSSP : Sev3 : Windows : Production : MSSADFRA01 : Memory Used is 97 %,3/27/2019 9:25 AM,98,Triggered,10.00 m,Node,MSSADFRA01,10.12.20.23,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,MSSP,3/27/2019 7:15 AM,MSSP_Windows
Sensata_Sev3 : CPU Utilization Virtual Servers above 90%,US Cloud : Sev3 : Windows : Sensata : Ashburn : Virtual : SITA-QUSPWF1 : CPU Load is 100 %,4/10/2019 7:11 AM,213,Triggered,6.00 m,Node,SITA-QUSPWF1,10.100.1.19,Ashburn,Windows,Windows,Windows 2012 R2 Server,Production,US,Sensata,3/27/2019 7:11 AM,Sensata_Alert
Emeds_Sev3 : File System Utilization above 85%,US Cloud : Sev3 : Linux : eMEDS : Franklin Park : ccttecchi015 : File System /var/log is 85 %,4/10/2019 3:04 AM,32,Triggered,10.00 m,Volume,ccttecchi015,10.13.75.34,Franklin Park,Linux,Linux,Red Hat,Production,US,eMEDS,3/27/2019 6:55 AM,eMeds_Alerts
MSSP_Sev3 : Memory Utilization above 95%,US Cloud - MSSP : Sev3 : Windows : Production : MSSADFRA01 : Memory Used is 96 %,3/27/2019 9:25 AM,98,Triggered,10.00 m,Node,MSSADFRA01,10.12.20.23,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,MSSP,3/27/2019 6:25 AM,MSSP_Windows
Sensata_Sev3 : CPU Utilization above 90%,US Cloud : Sev3 : Linux : Sensata : Franklin Park : AMER : stic-obitld1.corp.sensata.com : CPU Load is 100 %,4/4/2019 7:03 AM,60,Triggered,3.00 m,Node,stic-obitld1.corp.sensata.com,10.100.84.29,Franklin Park,Linux,net-snmp,net-snmp - Linux,Test/Pre-Prod,US,Sensata,3/27/2019 6:12 AM,Sensata_Alert
TCS_Mgmt_FPK_9K : Sev1 : Interface Output Errors above 5000,US Cloud : Sev1 : Network : TCS_Mgmt_FPK_9K :DC : Franklin Park Device : FPKNWSTK01.tcscloud.com Interface : Port-channel11 Output Errors : 5768 errors This Hour,4/8/2019 1:33 PM,28,Triggered,30.00 m,Interface,FPKNWSTK01.tcscloud.com,172.26.0.1,Franklin Park,Network,Cisco,Cisco Catalyst 38xx stack,TCS Mgmt,US,TCS_Mgmt_FPK_9K,3/27/2019 6:04 AM,
TCS_Mgmt_FPK_9K : Sev3 : Interface Output Errors (1001-3000)(Mail_Only),US Cloud : Sev3 : Network : TCS_Mgmt_FPK_9K : DC : Franklin Park Device : FPKNWLEA08 Interface : port-channel33 Output Errors : 1268 errors This Hour,4/3/2019 5:49 AM,24,Triggered,30.00 m,Interface,FPKNWLEA08.us.tcscloud.com,172.26.0.30,Franklin Park,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_FPK_9K,3/27/2019 6:04 AM,
TCS_Mgmt_FPK_9K : Sev3 : Interface Output Errors (1001-3000)(Mail_Only),US Cloud : Sev3 : Network : TCS_Mgmt_FPK_9K : DC : Franklin Park Device : FPKNWLEA08 Interface : Ethernet1/30 Output Errors : 1268 errors This Hour,4/3/2019 5:49 AM,21,Triggered,30.00 m,Interface,FPKNWLEA08.us.tcscloud.com,172.26.0.30,Franklin Park,Network,Cisco,Nexus 93180YC-EX,Production,US,TCS_Mgmt_FPK_9K,3/27/2019 6:04 AM,
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Franklin Park : noatdc-windr601.noa.alcoa.com is Down.,4/2/2019 9:33 PM,7,Triggered,0.25 m,Node,noatdc-windr601.noa.alcoa.com,10.11.228.94,Franklin Park,Windows,Unknown,Unknown,DR/DEV,US,ALCOA,3/27/2019 4:37 AM,Alcoa_Alert_Console
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Ashburn : NOAADC-HUB414 is Down.,3/27/2019 10:10 AM,54,Triggered,0.25 m,Node,NOAADC-HUB414,10.11.10.59,Ashburn,Windows,Unknown,Unknown,Production,US,ALCOA,3/27/2019 4:09 AM,Alcoa_Alert_Console
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Franklin Park : noatdc-windr602.noa.alcoa.com is Down.,4/7/2019 8:02 PM,17,Triggered,0.25 m,Node,noatdc-windr602.noa.alcoa.com,10.11.228.95,Franklin Park,Windows,Unknown,Unknown,DR/DEV,US,ALCOA,3/27/2019 3:33 AM,Alcoa_Alert_Console
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Ashburn : AUAADC-HUB413 is Down.,4/6/2019 10:14 AM,28,Triggered,0.25 m,Node,AUAADC-HUB413,10.11.10.52,Ashburn,Windows,Unknown,Unknown,Production,US,ALCOA,3/27/2019 3:17 AM,Alcoa_Alert_Console
TCS_Management Sev2 : Serious : VM CPU Utilization is above 95%,US Cloud : VMware : Sev2 : CPU Utilization of Guest VM ccttecchi013 is above 95%,4/9/2019 5:35 PM,390,Triggered,10.00 m,Virtual Machine,CCTTECCHI013,10.13.115.23,Franklin Park,Linux,net-snmp,net-snmp - Linux,Production,US,eMEDS,3/27/2019 3:15 AM,
Solarwinds Server Sev2 : Drive Space Utilization above 90%,US Cloud - ${N=SwisEntity;M=CustomProperties.CustomerName} : Sev2 : ${N=SwisEntity;M=CustomProperties.Tower} : ${N=SwisEntity;M=CustomProperties.Environment} :  USFRWPSWAP01 : C:\ Label: AA77671C  is 94 %,3/27/2019 2:55 AM,4,Triggered,10.00 m,Volume,USFRWPSWAP01,192.168.244.101,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,Solarwinds Server,3/27/2019 2:55 AM,
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Ashburn : NOAADC-HUB414 is Down.,3/27/2019 10:10 AM,54,Triggered,0.25 m,Node,NOAADC-HUB414,10.11.10.59,Ashburn,Windows,Unknown,Unknown,Production,US,ALCOA,3/27/2019 2:52 AM,Alcoa_Alert_Console
TCS_Management Sev2 : Serious : VM CPU Utilization is above 95%,US Cloud : VMware : Sev2 : CPU Utilization of Guest VM FPKCCTESRMWVM1 is above 95%,3/27/2019 11:59 PM,38,Triggered,10.00 m,Virtual Machine,FPKCCTESRMWVM1,10.205.6.23,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,eMEDS,3/27/2019 2:45 AM,
Sev2 : Major : File System Utilization above 80%,US Cloud : Sev2 : Linux : Sensata : Ashburn : AMER : stia-ebsplc3.corp.sensata.com : File System /home is above 83 %,3/27/2019 2:36 AM,1,Triggered,4.00 m,Volume,stia-ebsplc3.corp.sensata.com,10.100.10.13,Ashburn,Linux,net-snmp,net-snmp - Linux,Production,US,Sensata,3/27/2019 2:36 AM,Sensata_Alert
TCS_Management Sev2 : Serious : VM CPU Utilization is above 95%,US Cloud : VMware : Sev2 : CPU Utilization of Guest VM FPKCCTESRMWVM1 is above 95%,3/27/2019 11:59 PM,38,Triggered,10.00 m,Virtual Machine,FPKCCTESRMWVM1,10.205.6.23,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,eMEDS,3/27/2019 1:55 AM,
TCS_Management Sev2 : VM Memory Utilization is above 95%,US Cloud : VMware : Sev2 : Memory Utilization VM MSSADFRA01 on Host USFRPESX222.tcscloud.com is above 95%.,3/27/2019 1:55 AM,104,Triggered,10.00 m,Virtual Machine,MSSADFRA01,10.12.20.23,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,MSSP,3/27/2019 1:55 AM,
TCS_Management Sev2 : Serious : VM CPU Utilization is above 95%,US Cloud : VMware : Sev2 : CPU Utilization of Guest VM  is above 95%,3/27/2019 1:45 AM,36,Triggered,10.00 m,Virtual Machine,USASWPSWAPE01.tcscloud.com,10.254.242.90,Ashburn,Windows,Unknown,Unknown,Production,US,Solarwinds Server,3/27/2019 1:45 AM,
Cardinal_Sev1 : Linux Availability,US Cloud - cardinal : Sev1 : Linux : Production : LPTCSVA9MONI01 is Down.,3/27/2019 1:14 AM,3,Triggered,1.00 m,Node,LPTCSVA9MONI01,10.234.61.239,Ashburn,Linux,Linux,Red Hat,Production,US,cardinal,3/27/2019 1:14 AM,Cardinal_Alerts
Cardinal_Sev1 : Linux Availability,US Cloud - cardinal : Sev1 : Linux : Production : LPTCSVA9MONI01 is Down.,3/27/2019 1:14 AM,3,Triggered,1.00 m,Node,LPTCSVA9MONI01,10.234.61.239,Ashburn,Linux,Linux,Red Hat,Production,US,cardinal,3/27/2019 1:08 AM,Cardinal_Alerts
Sensata_Sev2 : Linux Service Monitoring,US Cloud : Sev2 : Linux : Sensata : Franklin Park : stic-obidld1.corp.sensata.com : java is Down,4/4/2019 12:45 AM,14,Triggered,6.00 m,APM: Component,stic-obidld1.corp.sensata.com,10.100.84.30,Franklin Park,Linux,net-snmp,net-snmp - Linux,Development,US,Sensata,3/27/2019 1:06 AM,Sensata_Alert
PSB_9K : Sev1 : Linux Availability,US Cloud : Sev1 : Linux : PSB : Ashburn :ashtpxy001.osc2.us.tcscloud.com is Down,3/27/2019 1:01 AM,2,Triggered,0.25 m,Node,ashtpxy001.osc2.us.tcscloud.com,10.18.10.34,Ashburn,Linux,Linux,Red Hat,Test,US,PSB,3/27/2019 1:01 AM,BaNCs_Alerts
PSB_9K : Sev1 : Linux Availability,US Cloud : Sev1 : Linux : PSB : Ashburn :usaspsbmon001.osc2.us.tcscloud.com is Down,3/27/2019 12:39 AM,3,Triggered,0.25 m,Node,usaspsbmon001.osc2.us.tcscloud.com,10.18.4.21,Ashburn,Linux,Linux,Red Hat,Production,US,PSB,3/27/2019 12:39 AM,BaNCs_Alerts
PSB_9K : Sev1 : Linux Availability,US Cloud : Sev1 : Linux : PSB : Ashburn :USASPSBLMSG001 is Down,4/6/2019 9:57 AM,3,Triggered,0.25 m,Node,USASPSBLMSG001,10.18.14.72,Ashburn,Linux,Linux,SuSE,Production,US,PSB,3/27/2019 12:39 AM,BaNCs_Alerts
Sensata_Sev2 : Linux Service Monitoring,US Cloud : Sev2 : Linux : Sensata : Franklin Park : stic-obidld1.corp.sensata.com : java is Down,4/4/2019 12:45 AM,14,Triggered,6.00 m,APM: Component,stic-obidld1.corp.sensata.com,10.100.84.30,Franklin Park,Linux,net-snmp,net-snmp - Linux,Development,US,Sensata,3/27/2019 12:36 AM,Sensata_Alert
TCS_Mgmt_FPK_7K_Storage_MailOnly : Sev2 : Fabric : Interface is down,"[{""Key"":""ActionTitle"",""Value"":""Resolved : US Cloud : Storage : Sev2 : Fabric Name FPDSWPRDCX4-1 : Interface FC port 1\/14 is Up""},{""Key"":""ErrorMessage"",""Value"":""The transport failed to connect to the server.\u000d\u000a""}]",4/9/2019 7:41 PM,25,ActionFailed,2.00 m,Interface,FPDSWPRDCX4-1,10.200.0.159,Franklin Park,Storage,"Brocade Communications Systems, Inc.",Brocade SilkWorm Switch,Production,US,TCS_Mgmt_FPK_7K,3/27/2019 12:22 AM,
TCS_Mgmt_FPK_7K_Storage_MailOnly : Sev2 : Fabric : Interface is down,"[{""Key"":""ActionTitle"",""Value"":""Resolved : US Cloud : Storage : Sev2 : Fabric Name FPDSWPRDCX4-2 : Interface FC port 1\/14 is Up""},{""Key"":""ErrorMessage"",""Value"":""The transport failed to connect to the server.\u000d\u000a""}]",4/9/2019 7:41 PM,25,ActionFailed,2.00 m,Interface,FPDSWPRDCX4-2,10.200.0.170,Franklin Park,Storage,"Brocade Communications Systems, Inc.",Brocade SilkWorm Switch,Production,US,TCS_Mgmt_FPK_7K,3/27/2019 12:20 AM,
TCS_Mgmt_FPK_7K_Storage_MailOnly : Sev2 : Fabric : Interface is down,US Cloud : Storage : Sev2 : Fabric Name FPDSWPRDCX4-2 : Interface FC port 1/14 is Down,4/9/2019 7:41 PM,25,Triggered,2.00 m,Interface,FPDSWPRDCX4-2,10.200.0.170,Franklin Park,Storage,"Brocade Communications Systems, Inc.",Brocade SilkWorm Switch,Production,US,TCS_Mgmt_FPK_7K,3/27/2019 12:01 AM,
TCS_Mgmt_FPK_7K_Storage_MailOnly : Sev2 : Fabric : Interface is down,US Cloud : Storage : Sev2 : Fabric Name FPDSWPRDCX4-1 : Interface FC port 1/14 is Down,4/9/2019 7:41 PM,25,Triggered,2.00 m,Interface,FPDSWPRDCX4-1,10.200.0.159,Franklin Park,Storage,"Brocade Communications Systems, Inc.",Brocade SilkWorm Switch,Production,US,TCS_Mgmt_FPK_7K,3/27/2019 12:01 AM,
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Ashburn : EUREDA-HUB403 is Down.,3/26/2019 11:59 PM,6,Triggered,0.25 m,Node,EUREDA-HUB403,10.11.100.43,Ashburn,Windows,Unknown,Unknown,Production,US,ALCOA,3/26/2019 11:59 PM,Alcoa_Alert_Console
MSSP_Sev3 : Memory Utilization above 95%,US Cloud - MSSP : Sev3 : Windows : Production : MSSADFRA01 : Memory Used is 95 %,3/27/2019 9:25 AM,98,Triggered,10.00 m,Node,MSSADFRA01,10.12.20.23,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,MSSP,3/26/2019 11:45 PM,MSSP_Windows
Emeds_Sev3 : File System Utilization above 85%,US Cloud : Sev3 : Linux : eMEDS : Franklin Park : ccttecchi020 : File System /var/log is 85 %,4/4/2019 9:33 AM,24,Triggered,10.00 m,Volume,ccttecchi020,10.13.75.38,Franklin Park,Linux,Linux,Red Hat,Production,US,eMEDS,3/26/2019 11:35 PM,eMeds_Alerts
Sev1 : Critical : CPU Utilization above 90%,US Cloud : Sev1 : Linux : Sensata : Ashburn : AMER : stia-obipld1.corp.sensata.com : CPU Load is 99 %,4/9/2019 11:38 PM,825,Triggered,3.00 m,Node,stia-obipld1.corp.sensata.com,10.100.20.25,Ashburn,Linux,net-snmp,net-snmp - Linux,Production,US,Sensata,3/26/2019 11:06 PM,Sensata_Alert
Sensata_Sev2 : Linux Service Monitoring,US Cloud : Sev2 : Linux : Sensata : Franklin Park : stic-obidld1.corp.sensata.com : java is Down,4/4/2019 12:45 AM,14,Triggered,6.00 m,APM: Component,stic-obidld1.corp.sensata.com,10.100.84.30,Franklin Park,Linux,net-snmp,net-snmp - Linux,Development,US,Sensata,3/26/2019 11:06 PM,Sensata_Alert
TCS_Management Sev2 : Serious : VM CPU Utilization is above 95%,US Cloud : VMware : Sev2 : CPU Utilization of Guest VM FPKCCTESRMWVM1 is above 95%,3/27/2019 11:59 PM,38,Triggered,10.00 m,Virtual Machine,FPKCCTESRMWVM1,10.205.6.23,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,eMEDS,3/26/2019 10:45 PM,
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Ashburn : NOAADC-PAMM402 is Down.,4/9/2019 10:35 PM,187,Triggered,0.25 m,Node,NOAADC-PAMM402,10.11.16.22,Ashburn,Windows,Unknown,Unknown,Production,US,ALCOA,3/26/2019 10:34 PM,Alcoa_Alert_Console
PSB_9K : Sev1 : Linux Availability,US Cloud : Sev1 : Linux : PSB : Franklin Park :usfppsblntp002 is Down,3/26/2019 10:29 PM,1,Triggered,0.25 m,Node,usfppsblntp002,10.18.48.15,Franklin Park,Linux,Linux,Red Hat,DR,US,PSB,3/26/2019 10:29 PM,BaNCs_Alerts
PSB_9K : Sev1 : Linux Availability,US Cloud : Sev1 : Linux : PSB : Franklin Park :usfppsblweb001 is Down,3/26/2019 10:28 PM,3,Triggered,0.25 m,Node,usfppsblweb001,10.18.48.12,Franklin Park,Linux,Linux,Red Hat,DR,US,PSB,3/26/2019 10:28 PM,BaNCs_Alerts
PSB_9K : Sev1 : Linux Availability,US Cloud : Sev1 : Linux : PSB : Franklin Park :usfppsblntp001 is Down,3/26/2019 10:28 PM,1,Triggered,0.25 m,Node,usfppsblntp001,10.18.48.14,Franklin Park,Linux,Linux,Red Hat,DR,US,PSB,3/26/2019 10:28 PM,BaNCs_Alerts
PSB_9K : Sev1 : Linux Availability,US Cloud : Sev1 : Linux : PSB : Franklin Park :USFPPSBLPXY001 is Down,3/26/2019 10:28 PM,1,Triggered,0.25 m,Node,USFPPSBLPXY001,10.18.48.13,Franklin Park,Linux,Linux,SuSE,DR,US,PSB,3/26/2019 10:28 PM,BaNCs_Alerts
MSSP: Memory Utilization above 90%,US Cloud - MSSP : Windows : Production : MSSADFRA01 : Memory Used is 90 %,3/26/2019 10:25 PM,61,Triggered,10.00 m,Node,MSSADFRA01,10.12.20.23,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,MSSP,3/26/2019 10:25 PM,MSSP_Windows
TCS_Management Sev2 : VM Memory Utilization is above 95%,US Cloud : VMware : Sev2 : Memory Utilization VM MSSADFRA01 on Host USFRPESX222.tcscloud.com is above 95%.,3/27/2019 1:55 AM,104,Triggered,10.00 m,Virtual Machine,MSSADFRA01,10.12.20.23,Franklin Park,Windows,Windows,Windows 2012 R2 Server,Production,US,MSSP,3/26/2019 10:15 PM,
Emeds_Sev2 : File System Utilization above 95%,US Cloud : Sev2 : Linux : eMEDS : Ashburn : CCTTECCHI022 : File System /var/log is 98 %,3/26/2019 10:05 PM,2,Triggered,10.00 m,Volume,CCTTECCHI022,10.13.11.22,Ashburn,Linux,Linux,Red Hat,DR,US,eMEDS,3/26/2019 10:05 PM,eMeds_Alerts
Alcoa_7K : Sev1 : Windows Availability,US Cloud : Sev1 : Unknown : ALCOA : Ashburn : noaadc-pamm401.noa.alcoa.com is Down.,4/9/2019 10:04 PM,165,Triggered,0.25 m,Node,noaadc-pamm401.noa.alcoa.com,10.11.16.21,Ashburn,Windows,Unknown,Unknown,Production,US,ALCOA,3/26/2019 10:04 PM,Alcoa_Alert_Console
TCS_Mgmt_FPK_9K : Sev1 : Interface Output Errors above 5000,US Cloud : Sev1 : Network : TCS_Mgmt_FPK_9K :DC : Franklin Park Device : FPKNWSTK01.tcscloud.com Interface : Port-channel11 Output Errors : 16769 errors This Hour,4/8/2019 1:33 PM,28,Triggered,30.00 m,Interface,FPKNWSTK01.tcscloud.com,172.26.0.1,Franklin Park,Network,Cisco,Cisco Catalyst 38xx stack,TCS Mgmt,US,TCS_Mgmt_FPK_9K,3/26/2019 9:04 PM,
